Date,Open,High,Low,Close,Adj Close,Volume
2019-12-01,66.817497,73.492500,64.072502,73.412498,71.810936,2388794800
2020-01-01,74.059998,81.962502,73.187500,77.377502,75.689430,2934370400
2020-02-01,76.074997,81.805000,64.092499,68.339996,66.849091,3019279200
2020-03-01,70.570000,76.000000,53.152500,63.572498,62.333187,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,72.018112,3265299200
2020-05-01,71.562500,81.059998,71.462502,79.485001,77.935478,2805936000
2020-06-01,79.437500,93.095001,79.302498,91.199997,89.664169,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,104.470551,3020283200
2020-08-01,108.199997,131.000000,107.892502,129.039993,126.866920,4070061100
2020-09-01,132.759995,137.979996,103.099998,115.809998,114.065018,3885245100
2020-10-01,117.639999,125.389999,107.720001,108.860001,107.219734,2894666500
2020-11-01,109.110001,121.989998,107.320000,119.050003,117.256203,2123077300
2020-12-01,121.010002,138.789993,120.010002,132.690002,130.916168,2322189600
2021-01-01,133.520004,145.089996,126.379997,131.960007,130.195908,2240262000
2021-02-01,133.750000,137.880005,118.389999,121.260002,119.638962,1833855600
2021-03-01,123.750000,128.720001,116.209999,122.150002,120.697136,2650418200
2021-04-01,123.660004,137.070007,122.489998,131.460007,129.896423,1889857500
2021-05-01,132.039993,134.070007,122.250000,124.610001,123.127884,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,135.560883,1606590000
2021-07-01,136.600006,150.000000,135.759995,145.860001,144.369934,1919035100
2021-08-01,146.360001,153.490005,144.500000,151.830002,150.278976,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.500000,140.264297,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,148.491837,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,163.856506,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,176.276230,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,173.506546,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,163.916916,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,173.558640,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,156.700729,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,147.943787,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,136.096436,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,161.768814,1447125400
2022-08-01,161.009995,176.149994,157.139999,157.220001,156.502960,1510239600
2022-09-01,156.639999,164.259995,138.000000,138.199997,137.760773,2084722800
2022-10-01,138.210007,157.500000,134.369995,153.339996,152.852676,1868139700
2022-11-01,155.080002,155.449997,134.380005,148.029999,147.559540,1724847700
2022-12-01,148.210007,150.919998,125.870003,129.929993,129.731918,1675657600
2023-01-01,130.279999,147.229996,124.169998,144.289993,144.070023,1443218300
2023-02-01,143.970001,157.380005,141.320007,148.479996,148.253632,1056611800
