Date,Open,High,Low,Close,Adj Close,Volume
2019-12-01,5910.120117,6065.000000,5697.060059,5978.060059,5978.060059,1455227900
2020-01-01,6016.609863,6109.810059,5799.040039,5806.339844,5806.339844,1644181800
2020-02-01,5822.040039,6111.410156,5229.560059,5309.899902,5309.899902,2250355600
2020-03-01,5416.020020,5509.279785,3632.060059,4396.120117,4396.120117,4755485900
2020-04-01,4259.939941,4719.740234,4142.279785,4572.180176,4572.180176,2246106400
2020-05-01,4413.140137,4784.089844,4194.580078,4695.439941,4695.439941,2185653500
2020-06-01,4776.720215,5213.669922,4691.810059,4935.990234,4935.990234,2765448100
2020-07-01,4939.799805,5172.979980,4783.689941,4783.689941,4783.689941,1968206500
2020-08-01,4797.060059,5096.529785,4763.600098,4947.220215,4947.220215,1492673300
2020-09-01,4974.419922,5131.390137,4666.259766,4803.439941,4803.439941,2111670300
2020-10-01,4850.200195,4998.509766,4512.569824,4594.240234,4594.240234,1398836100
2020-11-01,4614.950195,5612.759766,4581.859863,5518.549805,5518.549805,246374100
2020-12-01,5542.459961,5625.600098,5306.580078,5551.410156,5551.410156,709171000
2021-01-01,5614.040039,5721.890137,5379.220215,5399.209961,5399.209961,1890232300
2021-02-01,5441.430176,5834.359863,5429.779785,5703.220215,5703.220215,1653472600
2021-03-01,5770.890137,6097.740234,5755.600098,6067.229980,6067.229980,1790816900
2021-04-01,6079.669922,6352.359863,6063.859863,6269.479980,6269.479980,1131002300
2021-05-01,6285.509766,6496.319824,6150.430176,6447.169922,6447.169922,1406929000
2021-06-01,6470.419922,6687.290039,6464.709961,6507.830078,6507.830078,1498795900
2021-07-01,6549.819824,6671.120117,6253.250000,6612.759766,6612.759766,1235050200
2021-08-01,6657.950195,6913.669922,6560.740234,6680.180176,6680.180176,1307673500
2021-09-01,6736.439941,6784.660156,6389.620117,6520.009766,6520.009766,1895499000
2021-10-01,6421.100098,6830.339844,6412.700195,6830.339844,6830.339844,1580696700
2021-11-01,6870.279785,7183.080078,6655.859863,6721.160156,6721.160156,1852987900
2021-12-01,6774.799805,7201.649902,6730.629883,7153.029785,7153.029785,1611308500
2022-01-01,7197.399902,7384.859863,6754.240234,6999.200195,6999.200195,1499396000
2022-02-01,7052.299805,7169.629883,6432.890137,6658.830078,6658.830078,1777814500
2022-03-01,6646.160156,6829.399902,5756.379883,6659.870117,6659.870117,2934718800
2022-04-01,6672.979980,6757.750000,6338.609863,6533.770020,6533.770020,1549959400
2022-05-01,6469.310059,6582.049805,6086.020020,6468.799805,6468.799805,1952982700
2022-06-01,6509.189941,6593.149902,5830.870117,5922.859863,5922.859863,1761847100
2022-07-01,5875.600098,6472.270020,5786.500000,6448.500000,6448.500000,1588082500
2022-08-01,6447.180176,6608.830078,6125.100098,6125.100098,6125.100098,1480950600
2022-09-01,6068.339844,6394.180176,5628.419922,5762.339844,5762.339844,1789764900
2022-10-01,5697.470215,6293.149902,5654.439941,6266.770020,6266.770020,1530909300
2022-11-01,6329.759766,6743.600098,6191.729980,6738.549805,6738.549805,1663727000
2022-12-01,6784.600098,6823.100098,6388.229980,6473.759766,6473.759766,1448945200
2023-01-01,6521.069824,7117.529785,6518.209961,7082.419922,7082.419922,1248137000
2023-02-01,7087.200195,7387.290039,7059.609863,7317.430176,7317.430176,1296879900
